Name,Name Hash,Users,URLs
SponsorBlock - Skip Sponsorships on YouTube,44fadf1e4ce3b20f3c2c18b88c7af394e09a15809cf9f137f7d47624dac148bb,425365,https://addons.mozilla.org/android/addon/sponsorblock
uBlock Origin,49ac7879d24464edc5788fe7e224683b7e1f3bbe0ba70e5e6fbaa3c849e87383,7854307,https://addons.mozilla.org/android/addon/ublock-origin
SingleFile,22e38e65686a95699978df448a49a49f359389fdfb5b04d3e126f9e302c8fb60,56716,https://addons.mozilla.org/android/addon/single-file
Bitwarden - Free Password Manager,29a8ea9c7fb707a6c7dd195389bf7ba269837357cbc87ba3f62206740da1b33b,736353,https://addons.mozilla.org/android/addon/bitwarden-password-manager
Privacy Badger,e032b1c2ee60796d83f6a7c8936aa378f041d6ec78051781fabb10ce3c495d72,1243225,https://addons.mozilla.org/android/addon/privacy-badger17
AdGuard AdBlocker,e7b9fafc013f2111ee43ccefd982a7ec4b4c769e6fdd54ebdf1c03d5da90ef6b,1060985,https://addons.mozilla.org/android/addon/adguard-adblocker
Dark Reader,fbc1f93331202c1ea80c58e208b419bde90794d28e3fb609e445cd489f357d91,1164852,https://addons.mozilla.org/android/addon/darkreader
Stylus,37d4d52904349e857b03b998563175cf72ad056f3b431a42614970b418a9e39f,91750,https://addons.mozilla.org/android/addon/styl-us
FoxyProxy Standard,d7248cb4a1382c9f05a2884c1a69412ee88e8c539feeb59b033c4a0129ef7d78,211042,https://addons.mozilla.org/android/addon/foxyproxy-standard
Search by Image,547787e46dd03b25e43a8a44309f27c074c8453ca9f2ebe400067fab13f571b4,308763,https://addons.mozilla.org/android/addon/search_by_image
LeechBlock NG,8e763a14f60ce684c94b87e65897c339532edaf31b99002b8a0f897aee9bb410,69879,https://addons.mozilla.org/android/addon/leechblock-ng
Read Aloud: A Text to Speech Voice Reader,23908e39543cb847752e46406274df243d1d0ccf766fd3e795a8eaf9c3d0d62c,151024,https://addons.mozilla.org/android/addon/read-aloud
Unhook: Remove YouTube Recommended Videos Comments,9e12a19dfff767b14a336fd35171907d14bdd653a1bf91e2e3d19a55db768e0c,71454,https://addons.mozilla.org/android/addon/youtube-recommended-videos
Ghostery – Privacy Ad Blocker,f8a0530b99a88985f7d2a4ce650896e57f4383a9e078dbe534bd87756c344bff,1082826,https://addons.mozilla.org/android/addon/ghostery
NoScript Security Suite,d5d1aba94195367623dddeaab357e7b8ba1e427bceab07e1574ede5e0a4cd1a3,312043,https://addons.mozilla.org/android/addon/noscript
Web Archives,b75fa999fa422fd64e24acb019afe421645bf2eb15b971e0cd2d77565537d93b,56865,https://addons.mozilla.org/android/addon/view-page-archive
YouTube High Definition,84d0dc974096ad1f1425e06ad23c3acd7c5ad26487afce482402a7f00064eb33,163390,https://addons.mozilla.org/android/addon/youtube-high-definition
Decentraleyes,a876c3d20d49de4d475aa517d2ae4df84b8c54945fb423d5c4233f9feeb73f4e,268894,https://addons.mozilla.org/android/addon/decentraleyes
Video Background Play Fix,2fad73d7b2f5842d9be34276187e348e9e19ceac1389d78f4dd2c89ddeb131c0,178748,https://addons.mozilla.org/android/addon/video-background-play-fix
ClearURLs,d26555598c73889a7b885c8d16d906a726aaf28c7e9e2efca3c58a774682fdea,209219,https://addons.mozilla.org/android/addon/clearurls
Tomato Clock,e1418c0d9f550482d8d069ce872b1dca6bcce3ae40ff01893663a8c722835c9b,37987,https://addons.mozilla.org/android/addon/tomato-clock
Google Search Fixer,a924b98a8818e66ec53d84a2306717f9890d542afc5e425fef4af165b0051b9c,124865,https://addons.mozilla.org/android/addon/google-search-fixer
