Name,Hash,Users,Version,Permissions
uBlock Origin,49ac7879d24464edc5788fe7e224683b7e1f3bbe0ba70e5e6fbaa3c849e87383,7854307,2,"['alarms', 'dns', 'menus', 'privacy', 'storage', 'tabs', 'unlimitedStorage', 'webNavigation', 'webRequest', 'webRequestBlocking', '<all_urls>']"
Privacy Badger,e032b1c2ee60796d83f6a7c8936aa378f041d6ec78051781fabb10ce3c495d72,1243225,2,"['<all_urls>', 'alarms', 'tabs', 'webNavigation', 'webRequest', 'webRequestBlocking', 'storage', 'privacy']"
Dark Reader,fbc1f93331202c1ea80c58e208b419bde90794d28e3fb609e445cd489f357d91,1164852,2,"['alarms', 'contextMenus', 'storage', 'tabs', 'theme', '<all_urls>']"
Ghostery – Privacy Ad Blocker,f8a0530b99a88985f7d2a4ce650896e57f4383a9e078dbe534bd87756c344bff,1082826,2,"['webNavigation', 'webRequest', 'webRequestBlocking', 'cookies', 'tabs', 'http://*/*', 'https://*/*', 'storage']"
AdGuard AdBlocker,e7b9fafc013f2111ee43ccefd982a7ec4b4c769e6fdd54ebdf1c03d5da90ef6b,1060985,2,"['tabs', '<all_urls>', 'webRequest', 'webRequestBlocking', 'webNavigation', 'storage', 'contextMenus', 'cookies', 'privacy']"
Bitwarden - Free Password Manager,29a8ea9c7fb707a6c7dd195389bf7ba269837357cbc87ba3f62206740da1b33b,736353,2,"['<all_urls>', 'tabs', 'contextMenus', 'storage', 'unlimitedStorage', 'clipboardRead', 'clipboardWrite', 'idle', 'http://*/*', 'https://*/*', 'webRequest', 'webRequestBlocking']"
SponsorBlock - Skip Sponsorships on YouTube,44fadf1e4ce3b20f3c2c18b88c7af394e09a15809cf9f137f7d47624dac148bb,425365,2,"['storage', 'https://sponsor.ajay.app/*', 'scripting']"
NoScript Security Suite,d5d1aba94195367623dddeaab357e7b8ba1e427bceab07e1574ede5e0a4cd1a3,312043,2,"['contextMenus', 'storage', 'tabs', 'unlimitedStorage', 'webNavigation', 'webRequest', 'webRequestBlocking', 'dns', '<all_urls>']"
Search by Image,547787e46dd03b25e43a8a44309f27c074c8453ca9f2ebe400067fab13f571b4,308763,2,"['alarms', 'contextMenus', 'storage', 'unlimitedStorage', 'tabs', 'activeTab', 'notifications', 'webRequest', 'webRequestBlocking', '<all_urls>']"
Decentraleyes,a876c3d20d49de4d475aa517d2ae4df84b8c54945fb423d5c4233f9feeb73f4e,268894,2,"['*://*/*', 'privacy', 'storage', 'unlimitedStorage', 'tabs', 'webNavigation', 'webRequest', 'webRequestBlocking']"
FoxyProxy Standard,d7248cb4a1382c9f05a2884c1a69412ee88e8c539feeb59b033c4a0129ef7d78,211042,2,"['downloads', 'notifications', 'proxy', 'storage', 'tabs', 'webRequest', 'webRequestBlocking', '<all_urls>']"
ClearURLs,d26555598c73889a7b885c8d16d906a726aaf28c7e9e2efca3c58a774682fdea,209219,2,"['<all_urls>', 'webRequest', 'webRequestBlocking', 'storage', 'unlimitedStorage', 'contextMenus', 'webNavigation', 'tabs', 'downloads']"
YouTube High Definition,84d0dc974096ad1f1425e06ad23c3acd7c5ad26487afce482402a7f00064eb33,163390,3,['storage']
Google Search Fixer,a924b98a8818e66ec53d84a2306717f9890d542afc5e425fef4af165b0051b9c,124865,2,"['webRequest', 'webRequestBlocking', '*://*/*']"
Stylus,37d4d52904349e857b03b998563175cf72ad056f3b431a42614970b418a9e39f,91750,2,"['tabs', 'webNavigation', 'webRequest', 'webRequestBlocking', 'contextMenus', 'storage', 'unlimitedStorage', 'alarms', '<all_urls>']"
LeechBlock NG,8e763a14f60ce684c94b87e65897c339532edaf31b99002b8a0f897aee9bb410,69879,3,"['alarms', 'downloads', 'history', 'menus', 'storage', 'tabs', 'unlimitedStorage', 'webNavigation']"
Web Archives,b75fa999fa422fd64e24acb019afe421645bf2eb15b971e0cd2d77565537d93b,56865,2,"['alarms', 'contextMenus', 'storage', 'unlimitedStorage', 'tabs', 'activeTab', 'notifications', 'webRequest', 'webRequestBlocking', '<all_urls>']"
SingleFile,22e38e65686a95699978df448a49a49f359389fdfb5b04d3e126f9e302c8fb60,56716,2,"['identity', 'menus', 'downloads', 'storage', 'tabs', '<all_urls>']"
