Name,Users,Hash
uBlock Origin,7854307,49ac7879d24464edc5788fe7e224683b7e1f3bbe0ba70e5e6fbaa3c849e87383
Privacy Badger,1243225,e032b1c2ee60796d83f6a7c8936aa378f041d6ec78051781fabb10ce3c495d72
Ghostery – Privacy Ad Blocker,1082826,f8a0530b99a88985f7d2a4ce650896e57f4383a9e078dbe534bd87756c344bff
AdGuard AdBlocker,1060985,e7b9fafc013f2111ee43ccefd982a7ec4b4c769e6fdd54ebdf1c03d5da90ef6b
Bitwarden - Free Password Manager,736353,29a8ea9c7fb707a6c7dd195389bf7ba269837357cbc87ba3f62206740da1b33b
NoScript Security Suite,312043,d5d1aba94195367623dddeaab357e7b8ba1e427bceab07e1574ede5e0a4cd1a3
Search by Image,308763,547787e46dd03b25e43a8a44309f27c074c8453ca9f2ebe400067fab13f571b4
Decentraleyes,268894,a876c3d20d49de4d475aa517d2ae4df84b8c54945fb423d5c4233f9feeb73f4e
FoxyProxy Standard,211042,d7248cb4a1382c9f05a2884c1a69412ee88e8c539feeb59b033c4a0129ef7d78
ClearURLs,209219,d26555598c73889a7b885c8d16d906a726aaf28c7e9e2efca3c58a774682fdea
Google Search Fixer,124865,a924b98a8818e66ec53d84a2306717f9890d542afc5e425fef4af165b0051b9c
Stylus,91750,37d4d52904349e857b03b998563175cf72ad056f3b431a42614970b418a9e39f
Web Archives,56865,b75fa999fa422fd64e24acb019afe421645bf2eb15b971e0cd2d77565537d93b
