Name,Hash,Users,Version,All Hosts,Permissions
Privacy Palette,50906983e11aa973209d3563591ce6cb8d21cc976f641d78943685b22a051c9d,60000,2,False,"['bookmarks', 'browsingData', 'contentSettings', 'cookies', 'management', 'privacy']"
365Scores,3fcf4a68ba54c88693596894c85599535c0e8d2955190ef1e530bef5eacbcdfe,20000,2,False,"['http://*.365scores.com/', 'cookies', 'notifications']"
LiveInternet.Дневники Offline,dd846764b22d2a0646c54325c95789281f4c6c2918b61e9900a60f3aa956d0fe,10000,2,True,"['cookies', 'background', 'unlimitedStorage', 'notifications', 'webRequest', 'webRequestBlocking', '<all_urls>', 'http://*/*']"
X-Browser,41d23a34d210a8b40cd1bc0d5f6195eec7368ed811f7c5070ba3c2cbf840ed4d,6000,2,True,"['webview', 'downloads', 'bookmarks', 'browsingData', 'clipboardRead', 'clipboardWrite', 'cookies', 'debugger', 'desktopCapture', 'fileBrowserHandler', 'fileBrowserProvider', 'location', 'network.config', 'notifications', 'power', 'printerProvider', 'system.storage', 'unlimitedStorage', 'vpnProvider', 'wallpaper', 'proxy', 'webRequest', 'webRequestBlocking', '<all_urls>', 'background', 'http://*/', 'https://*/*', 'storage', 'tabs']"
Javascript Object Browser,3c8d85fe287265d47ec8c830b3abf01366ffcdeb25e84c255b45230a409eec0e,4000,2,True,"['*://*/*', 'activeTab', 'alarms', 'background', 'bookmarks', 'browsingData', 'chrome://favicon/', 'clipboardRead', 'clipboardWrite', 'contentSettings', 'contextMenus', 'cookies', 'debugger', 'fileBrowserHandler', 'fontSettings', 'geolocation', 'history', 'idle', 'management', 'nativeMessaging', 'notifications', 'pageCapture', 'power', 'privacy', 'proxy', 'storage', 'system.cpu', 'system.display', 'system.memory', 'system.storage', 'tabCapture', 'tabs', 'topSites', 'tts', 'ttsEngine', 'unlimitedStorage', 'webNavigation', 'webRequest', 'webRequestBlocking']"
Twitter WebApp,28268f0b28500977dd4d040def671d54bc559a5c9d45958a48cf646a8121c2cd,1000,2,False,"['webview', 'background', 'clipboardRead', 'clipboardWrite', 'cookies']"
2048_1,cb4888ba95400d6eecd42c819033be9d5b027d0ea3e32ea803b8bb3f9ff2f77f,256,2,False,"['cookies', 'storage', 'management', 'webRequest', 'webRequestBlocking']"
RDIO for chrome,9959e9abd87ec3d7d692362bd76f88a33ddd5123d79de3ac67604091b1cd2528,251,2,False,"['*://rdio.com', 'cookies', 'webview', 'unlimitedStorage', 'notifications', 'background', 'identity', 'https://www.facebook.com/', 'https://graph.facebook.com/', 'contentSettings', 'idle', 'notifications', 'storage', 'fullscreen']"
ioFacturo CFDI SAT,e0811c39be36a3e2f6a9e2bf06e4487ce74c6902a8eab21d66019191c42826c3,138,2,False,"['unlimitedStorage', 'notifications', 'cookies', '*://*.iofacturo.mx/*']"
Encoding Smith,1d214d704cce4fcc3116f6a85ecd5074b541d937db02ae9db406c8f55cfe12f6,75,2,False,"['cookies', 'unlimitedStorage']"
Seemiyah Player v2,b74c2db7baeb26ba0a4c3e06e32eb842dee138de1de45566c98031522690207c,37,2,False,"['http://www.seemiyah.com/', 'http://*.seemiyah.com/', '*://*.seemiyah.com', 'webview', 'cookies', 'alwaysOnTopWindows', 'fullscreen']"
The Return of the King,288e9684e89ee9a59cee60ba379166817648f22485830587a39b15db15ac6f29,20,2,False,"['cookies', 'notifications']"
Jacob Listem,e2c9a76ab2a18ef2bef40cf9f65c61a6cd478ebbf0dd0a03eac2d5867a4f1ee6,3,2,False,"['storage', 'webview', 'system.network', 'cookies', 'audioCapture', 'storage', 'http://127.0.0.1/', 'tabs']"
TibCloud,3c9c8e7eee2363be12910f06585048a5867fb75cde09fb15bbcd0a1502c6304d,0,2,False,"['*://*.tibtrade.net/*', 'downloads', 'tabs', 'activeTab', 'alarms', 'cookies', 'webview', 'power', 'storage', 'pointerLock', 'system.display', {'fileSystem': ['write', 'retainEntries', 'directory']}, 'accessibilityFeatures.read', 'accessibilityFeatures.modify']"
Mar 29 Permission Updated,c5f4899121819a574a28ac1d09fbc5db4f18e06e5fbc612f9052e09d784b68e0,0,2,False,"['background', 'contextMenus', 'cookies', 'geolocation', 'idle']"
