Name,Hash,Users,Version,All Hosts,Permissions
X New Tab Page,f794669328d5d843509ce952e9d860fd203c71bba4240c9911eae87142a77245,40000,2,False,"['management', 'bookmarks', 'contextMenus', 'notifications', 'topSites', 'unlimitedStorage', 'webRequest', 'webRequestBlocking']"
LiveInternet.Дневники Offline,dd846764b22d2a0646c54325c95789281f4c6c2918b61e9900a60f3aa956d0fe,10000,2,True,"['cookies', 'background', 'unlimitedStorage', 'notifications', 'webRequest', 'webRequestBlocking', '<all_urls>', 'http://*/*']"
X-Browser,41d23a34d210a8b40cd1bc0d5f6195eec7368ed811f7c5070ba3c2cbf840ed4d,6000,2,True,"['webview', 'downloads', 'bookmarks', 'browsingData', 'clipboardRead', 'clipboardWrite', 'cookies', 'debugger', 'desktopCapture', 'fileBrowserHandler', 'fileBrowserProvider', 'location', 'network.config', 'notifications', 'power', 'printerProvider', 'system.storage', 'unlimitedStorage', 'vpnProvider', 'wallpaper', 'proxy', 'webRequest', 'webRequestBlocking', '<all_urls>', 'background', 'http://*/', 'https://*/*', 'storage', 'tabs']"
Javascript Object Browser,3c8d85fe287265d47ec8c830b3abf01366ffcdeb25e84c255b45230a409eec0e,4000,2,True,"['*://*/*', 'activeTab', 'alarms', 'background', 'bookmarks', 'browsingData', 'chrome://favicon/', 'clipboardRead', 'clipboardWrite', 'contentSettings', 'contextMenus', 'cookies', 'debugger', 'fileBrowserHandler', 'fontSettings', 'geolocation', 'history', 'idle', 'management', 'nativeMessaging', 'notifications', 'pageCapture', 'power', 'privacy', 'proxy', 'storage', 'system.cpu', 'system.display', 'system.memory', 'system.storage', 'tabCapture', 'tabs', 'topSites', 'tts', 'ttsEngine', 'unlimitedStorage', 'webNavigation', 'webRequest', 'webRequestBlocking']"
HTML Live,6caa4de27713dd0181474672a7b9f82b15afba004b8041e72d35e3b9c598fcd9,870,2,False,"['webRequest', 'webRequestBlocking', 'notifications']"
2048_1,cb4888ba95400d6eecd42c819033be9d5b027d0ea3e32ea803b8bb3f9ff2f77f,256,2,False,"['cookies', 'storage', 'management', 'webRequest', 'webRequestBlocking']"
Impact Guns SLC Remington 783 Giveaway 2018,50718082896260fffab85888d4c8d05de74f1111195f46c6dc3a1e8585df5a53,0,2,True,"['webview', 'power', 'storage', 'videoCapture', 'geolocation', 'pointerLock', 'system.display', {'fileSystem': ['write', 'retainEntries', 'directory']}, 'accessibilityFeatures.read', 'webRequest', 'webRequestBlocking', '<all_urls>']"
Impact Guns Boise Remington 783 Giveaway 2018,a32cbc751669c669e7a6df0b7f5b99baf7ed62ec79fe1566798167aada9bcec1,0,2,True,"['webview', 'power', 'storage', 'videoCapture', 'geolocation', 'pointerLock', 'system.display', {'fileSystem': ['write', 'retainEntries', 'directory']}, 'accessibilityFeatures.read', 'webRequest', 'webRequestBlocking', '<all_urls>']"
Player web,06469fc00fcea7190eeed24895953fd75c6ff11af353ac9019f79f3b05c9b3e4,0,2,True,"['serial', 'storage', 'fullscreen', 'webview', 'webRequest', 'webRequestBlocking', 'power', 'http://*/*']"
TestNav,0ce25b0ee4b1ab38e4213110895b0bf0cdb421188b40911157a21727f7e87585,0,2,False,"[{'socket': ['resolve-host', 'resolve-proxy', 'tcp-connect', 'tcp-listen:*:*']}, {'fileSystem': ['write']}, '*://*/', 'webview', 'unlimitedStorage', 'clipboardWrite', 'audioCapture', 'videoCapture', 'desktopCapture', 'virtualKeyboard', 'power', 'accessibilityFeatures.read', 'accessibilityFeatures.modify', 'audio', 'enterprise.deviceAttributes', 'enterprise.platformKeys', 'webRequest', 'webRequestBlocking']"
VideoSpot,c0d8123fe755c2ca58103ce5d118811ae344b6b4ce5ef22eb57334b5f1302eea,0,2,True,"['background', 'storage', 'alarms', 'power', 'system.cpu', 'system.memory', 'system.storage', 'system.network', 'unlimitedStorage', 'webview', 'browsingData', 'filesystem', 'webRequest', 'webRequestBlocking', '<all_urls>']"
Impact Guns Ogden Remington 783 Giveaway 2018,204199af667eed03e2e90cf08567f8e68eddbf7f6c06cf2d126cba189b7f63c0,0,2,True,"['webview', 'power', 'storage', 'videoCapture', 'geolocation', 'pointerLock', 'system.display', {'fileSystem': ['write', 'retainEntries', 'directory']}, 'accessibilityFeatures.read', 'webRequest', 'webRequestBlocking', '<all_urls>']"
TelemetryTV Media Player,3c99a4e4064236845369c55c471ba5b395d6bc02e709591c05ab0bc58ff13f5c,0,2,True,"['storage', 'power', 'http://*/*', 'https://*/*', 'webview', 'webRequest', 'webRequestBlocking', 'fullscreen', 'overrideEscFullscreen', 'system.display', 'system.storage', 'system.cpu', 'system.network', 'system.memory', 'enterprise.deviceAttributes', 'unlimitedStorage', 'serial', 'audioCapture', 'videoCapture']"
