Name,Hash,Users,Version,All Hosts,Permissions
SPARKvue,e98ec6e3bbe49c6f4a4bf47f711b5c47be9b5ea5b31a75ad3eae3e733e0c62fa,1000000,2,False,"['power', 'serial', 'https://*.pasco.com', 'webRequest', 'storage', 'webview', 'usb', 'audioCapture', {'fileSystem': ['write', 'directory']}, 'unlimitedStorage', {'usbDevices': [{'vendorId': 2373, 'productId': 1}, {'vendorId': 2373, 'productId': 2}, {'vendorId': 2373, 'productId': 3}, {'vendorId': 2373, 'productId': 5}, {'vendorId': 2373, 'productId': 6}, {'vendorId': 2373, 'productId': 1024}, {'vendorId': 2373, 'productId': 1027}, {'vendorId': 2373, 'productId': 1028}, {'vendorId': 2373, 'productId': 1029}, {'vendorId': 2373, 'productId': 1031}, {'vendorId': 2373, 'productId': 1032}, {'vendorId': 2373, 'productId': 1034}, {'vendorId': 2373, 'productId': 1035}, {'vendorId': 1027, 'productId': 24577}, {'vendorId': 1027, 'productId': 24597}]}]"
X New Tab Page,f794669328d5d843509ce952e9d860fd203c71bba4240c9911eae87142a77245,40000,2,False,"['management', 'bookmarks', 'contextMenus', 'notifications', 'topSites', 'unlimitedStorage', 'webRequest', 'webRequestBlocking']"
LiveInternet.Дневники Offline,dd846764b22d2a0646c54325c95789281f4c6c2918b61e9900a60f3aa956d0fe,10000,2,True,"['cookies', 'background', 'unlimitedStorage', 'notifications', 'webRequest', 'webRequestBlocking', '<all_urls>', 'http://*/*']"
X-Browser,41d23a34d210a8b40cd1bc0d5f6195eec7368ed811f7c5070ba3c2cbf840ed4d,6000,2,True,"['webview', 'downloads', 'bookmarks', 'browsingData', 'clipboardRead', 'clipboardWrite', 'cookies', 'debugger', 'desktopCapture', 'fileBrowserHandler', 'fileBrowserProvider', 'location', 'network.config', 'notifications', 'power', 'printerProvider', 'system.storage', 'unlimitedStorage', 'vpnProvider', 'wallpaper', 'proxy', 'webRequest', 'webRequestBlocking', '<all_urls>', 'background', 'http://*/', 'https://*/*', 'storage', 'tabs']"
Rocket Custa,b7861e54164035c130a2b47ed60fc275d196c1792b0796b376c0f2297d02de94,4000,2,True,"['webRequest', 'http://www.roelantcornelissen.nl/rocket/classes/request.php', 'http://www.roelantcornelissen.nl/*', 'http://roelantcornelissen.nl/*', 'http://www.projectwonderful.com/*', 'http://*/*']"
Javascript Object Browser,3c8d85fe287265d47ec8c830b3abf01366ffcdeb25e84c255b45230a409eec0e,4000,2,True,"['*://*/*', 'activeTab', 'alarms', 'background', 'bookmarks', 'browsingData', 'chrome://favicon/', 'clipboardRead', 'clipboardWrite', 'contentSettings', 'contextMenus', 'cookies', 'debugger', 'fileBrowserHandler', 'fontSettings', 'geolocation', 'history', 'idle', 'management', 'nativeMessaging', 'notifications', 'pageCapture', 'power', 'privacy', 'proxy', 'storage', 'system.cpu', 'system.display', 'system.memory', 'system.storage', 'tabCapture', 'tabs', 'topSites', 'tts', 'ttsEngine', 'unlimitedStorage', 'webNavigation', 'webRequest', 'webRequestBlocking']"
Floating Video Player,649c1e6b9e580fb275aa92e197cc784ef0ebdf2f8e59a199cf54705e2af22aa9,1000,2,False,"['webview', 'alwaysOnTopWindows', 'storage', 'fullscreen', 'identity', 'webRequest', 'https://www.google-analytics.com/', 'https://ssl.gstatic.com/', 'https://www.googleapis.com/', 'https://accounts.google.com/', 'https://i.ytimg.com/']"
HTML Live,6caa4de27713dd0181474672a7b9f82b15afba004b8041e72d35e3b9c598fcd9,870,2,False,"['webRequest', 'webRequestBlocking', 'notifications']"
CAT MBA EXAM PREP - CL SCC,1be1dc30f873dda86c8c44502c1783acc95c3844234f24c31d85226bdeac52ea,383,2,True,"['webview', 'webRequest', '*://careerlauncher.learnyst.com/clSignUp/*', '<all_urls>', {'fileSystem': ['write', 'retainEntries', 'directory']}, {'socket': ['tcp-connect', 'tcp-listen']}, 'unlimitedStorage', 'https://learnyst.com/', 'http://127.0.0.1:23987/', 'http://localhost:23987/', 'http://learnyst-data.s3.amazonaws.com/', 'http://www.careerlauncher.com/ecenter/ProductDesc.jsp?prodId=WRayGtoYB3k%3D&prodGroup=ONLINETESTPREP&prodCat=FMAP', 'http://www.careerlauncher.com/SCCRegistration/index.jsp?device=desktop', 'http://www.careerlauncher.biz/SCCRegistration/index.jsp?device=desktop', 'http://www.careerlauncher.biz/SCCRegistration/SCCRegistration.jsp?device=desktop', 'app.window.fullscreen']"
2048_1,cb4888ba95400d6eecd42c819033be9d5b027d0ea3e32ea803b8bb3f9ff2f77f,256,2,False,"['cookies', 'storage', 'management', 'webRequest', 'webRequestBlocking']"
