Name,Users,Hash
Grammarly: AI Writing and Grammar Checker App,51000000,0b42ae7f8e948306ac018bb8be6ba459022765efbdd25ab9364361584201989a
迅雷下载支持,26000000,1bd8a4bb0daab9fbea56d1040b1f883be58bcd603e24948e0e4043d221c26d7a
PayPal Honey: Automatic Coupons & Cash Back,22000000,1c57a23b9922327d31173499cea8e1c48d44d726c2f6e5191eef3bcf68d48840
Clever,15000000,3cf0b40523e6100abf51e0d7d52c074a083a107dfb778f450255e91781020423
AdGuard AdBlocker,13000000,e7b9fafc013f2111ee43ccefd982a7ec4b4c769e6fdd54ebdf1c03d5da90ef6b
Online Security,12000000,0d1ec01d87e4ff6f8a80118d7ba7726fef2d07b06ba8564f4e57430b945b3a55
Tampermonkey,11000000,80a1f21041e725b59a5b8be561086ef098d409fa2e4ffe21fb5d0a67ddc22f81
Capital One Shopping: Add to Chrome for Free,9000000,0334ac391c74741ebe04648b9fc3620f288e68c7056588a03a182bd687aaf74f
Save to Pinterest,7000000,8ba85bc53dde5720ef3c002a922c1dd7da8996935f2f5e04e009cc6b7576d798
Free VPN for Chrome - VPN Proxy VeePN,7000000,07fc3f4b1a3e610e0c3e0f9ae19da2400690eaad85a190bb1d3a6f840413f6c1
Loom – Screen Recorder & Screen Capture,7000000,e8d057fbf3bf17d58ea8f3afdea30776623e82e2a97f0629567d231c578fd75b
Hola VPN - The Website Unblocker,6000000,b871aa457fc858826a38da2be8ccc909f2764142bd6739ce77b9ab717a935464
IE Tab,6000000,2ac035b16aa841818040ea5ec757cde439d136fc11e332ee5c80be843f7dfae7
Avira Password Manager,6000000,115ca64193483a6bff4aeab464de79acc75dcea98c5ced8df900f4b738bc1b82
Avira Browser Safety,6000000,e6d47687905b8ca93589b11ff6379b189a275237837cba127fe67af4dd766788
Skype,5000000,d43101660ca2f1f54d0a2426dce6b4c44daf34e6d4fd6244807ad51162ab243f
Avira Safe Shopping,5000000,c1d80f3d62b89b10eeabc22f1b1a005a44a8c58f91fca51d1808dd3e89de8e89
Zotero Connector,5000000,8a45b6bc37e76fb2b288a247ea1f3219f9c016e21a87bf0b32a8f860c4808321
Foxit PDF Creator,5000000,35132b6e8f7ea562de66f40f44bdd8b0d033d53f263a343ee18fc6b80e8688ee
DuckDuckGo Privacy Essentials,5000000,2faaf6307395dc473204ece67980cb93f041e9a6491a82ffd5f47e2742e15069
Free VPN ZenMate-Best VPN for Chrome,4000000,188d1e2e4aab848c9f4d68765662c353febe66edc56e5058f828eb7d7c46f38f
Rakuten: Get Cash Back For Shopping,4000000,88b5a029c7e8eaa1c4a7d68b4679ab784486ecc630b24b1c42942f32196dc9ad
Awesome Screen Recorder & Screenshot,3000000,0c40c236f30022a935917c5955290641c8c85897646a3f435278ddd76ff1d80a
vidIQ Vision for YouTube,3000000,3498d905f6868856fe168793318e952c6870e5736823795564f396130f4fb885
EditThisCookie,3000000,015218b9c3c114a7a47d3e3e4693f84c6a0b4fc3c30a84bd094b89f3fb1035ac
QuillBot: AI Writing and Grammar Checker Tool,3000000,ce1fb1f86c419234a4a7dbf3f86944f60d867226147f13899139bf0d5287bef7
Coupert - Automatic Coupon Finder & Cashback,3000000,9af2edf9e4cc51ffb7e4fd3988158638fcb7a1349ea2b1dcef6d4f0e98e3269a
LINE,3000000,81a0d84c98955115840803a9e989253fad27c0abbf59107c0a8a5f66aab1ccff
Microsoft Bing Search with Rewards,3000000,7a67eba57b3da96a3a27b2e7241b6288e2c9fcc1c71836a8517b321c7b551707
Content Server Browser Web Extension,3000000,ff9fb80b75b2f7f0ba20b7acdef987495c176f74f95b2cb21bc964c766ea4abb
Ghostery Tracker Ad Blocker - Privacy AdBlock,2000000,a6602048e38b5e416eca4e3f771c9651fec8b2f6bfc4f8cde09c9090cf8ab7ad
Scener,2000000,a56f192be433221ad8763f57ff5ac4302159c5f0dec80cb798ac189c42d8368b
夸克网盘-网页嗅探,2000000,e2e260001c2d95bb177bbf6612fe48cd868f62e68d656b3f498732a17e9fd283
Save to Pocket,2000000,b2700f8f002d187556d5a94cce3855dd177fc40c14650b10c00775dde00b03b3
Dashlane — Password Manager,2000000,e63db4a48c66cbcc485fb558906afdc96bf4cb2e0dcc8f6a26d722bc53797877
Evernote Web Clipper,2000000,52f9e06256393e692d0a621531f40260b603f70f69dc3ad8db9f62a7cb61aba1
Wappalyzer - Technology profiler,2000000,633a3e259ee8c69d1dc85b5b879b7ba25097ef0a9ff00ee432abef97ffaa1765
Wordtune: Generative AI productivity platform,2000000,69f74db8ca242e187c99460b1653474c77caf50b6ff843a2c926adf2d26414ac
Windscribe - Free Proxy and Ad Blocker,2000000,f9ccd5c6191018c19d11f89d0c6909c861cda813f3889cccd609266e90e07893
Free Download Manager,2000000,188eadd71bf50b407486930ba4e2228bba685723e14a243a25ca836fde24c761
Connecteur Antidote,1000000,fd042ccf78e226e282fc34e7f63f3a09bbc79fc883c8f1b6cacade62c38977da
Yandex Access,1000000,a39132bf5c6aec3e29c4cbca73de9878b65c3197d029bc849037a6ac9ca02a7b
HubSpot Sales,1000000,535c1033e086e1b26a3e10ee7b6025f8db62050c009ae292cf9e86e123cfde3f
Paper,1000000,35045eff549e30b5bdf44abb9999f383d87bc54002b130fdcdd05315e188419e
"FastSave for Instagram™ (reel, photo, story)",1000000,d12dc76a7631f8d0b8aa67b6d8f1f116cd297a5c2a3584d3bd882f7fa82ca923
OneLogin for Google Chrome,1000000,d728c55804237b2cecc8bcaa8b9ef55045befac6d2a28650f659fe6cd3f35ddb
Ronin Wallet,1000000,5e02cc5f89cbd338e1fecc65825cdf1a72f68f71993a471ae55e064af21e4634
Méliuz: Cashback e cupons em suas compras,1000000,19d714162b04f7acef428762c7faab31b2a3bc2b1919ca2dbf150692a2cfb9eb
