Name,Users,Hash
"Adobe Acrobat: PDF edit, convert, sign tools",204000000,75218a7fb88fbfd9ea2c7cb514b4ebd12aba323c454a912fa389969ec41767d3
1Password – Password Manager,4000000,cbef52053df7d9eecd678a840a3fc078666a27f82a8f361731f72a85bb28b332
Video DownloadHelper,3000000,9e2c015b6b8ee379874a08ecbe43c24564cb71b1da090bd698feff79bdc9afd8
Ultimate Ad blocker AdBlox,2000000,ad468ea7e60e1395ec7bb9212b53c62670302651132548a0e6f2bd37c6690b84
McAfee® Web Boost,2000000,e251f083d4f3828d7a9facef3aa3ce3590e647825c67a96780ed48033424cfea
Pop up blocker for Chrome™ - Poper Blocker,2000000,00b4c7c96229451d25df51616405e46887115b92af1bec234f6e5a53d3c8748e
"Video Downloader 4saved (mp4, hls, m3u8)",1000000,f9cc0187ba7da7349514b241bdb754af4a0a2f6e847142104bc0802daf2af608
Video downloader Pro,1000000,639262edeab76293f7b8ef7875cf9f981ea253ad90bd85198df83c4049065550
BlockSite: Block Websites & Stay Focused,1000000,3b7addd192f5e2f6bd1060651291175475bfcbaa0d40b12d30abb440347c0d91
Browser Redirection Extension,1000000,82465497230940279bd7a260bc4f50db6df7a5ee19fe861a3e3226647e1f372d
Surfshark VPN Extension,1000000,f33b75f997e251f1958862fa33ad9e80993020639b847bfdd39296dfae953d6d
Image Downloader - Save photos and pictures,1000000,348cc506a9ebe129d518743ca8472357cb7161c3f995b52ab316b06cceb7ac63
ExpressVPN: VPN proxy for a better internet,1000000,e75f5375db8d47b121c4cd6393ca59f8cb9994a02df698c960f0b09e71fb47e4
Image Downloader - Save pictures,1000000,bc6d19615d0f90b0c87a51acfee024a30dd73ab463ad43257f37c4c7d9bb56a0
WOT: Website Security & Safety Checker,900000,409207dfed627dc0f422d8aa1e3ea90f762dbc9347f73d8a1026021458e44ce1
HD Video Downloader,800000,849f8b9c27eb5f78c34f05d5453b425384f11c8239495654a18b3e1ee5bdeb5c
WinSafe - быстрый доступ к сайтам!,700000,a807543d73ca78f08c24143a9ef8b6e9e21e0b074163b82684e9626d369c13a0
Chatgpt powered search,700000,9dba12da4dd5e1fe85c5bf2d1d523dbc7c30aadb74cdfe0a79c8b5f4d4f597e0
Allow CORS: Access-Control-Allow-Origin,700000,71679aa2d82f49d708564600b7ec406e81a7e745d661710dd4729341775f02fa
Image downloader - Imageye,700000,acc1e3ccf8f6188f9ef6a9294dc4d262e68877b9ddeb538f93526e6240517673
Ultimate video downloader,700000,ef8be2594eaed548351078cf4d8365df2c0e0c2a28cef991f0a231c389485e04
uBlock,700000,d1043fa8045d9c0306b9d7559d7536b56a93f8c05a294663f6cc6f3c9cf63e7d
Fast save and repost for Instagram,700000,8374854d15e38006d203ec65c46f21becc51cc8ec536a97fca08a49c953cfe93
AppWriter Cloud,600000,f214b6a3628b6d9c5f158363589986234c814532c82137d9801e259209633daa
ProNet: Доступ к сайтам!,600000,5b581089313bcbfaaced14cae45b5c6c81b6d5e841ae547bbbb9ca6c0aa95c89
Immersive Translate: Web Page&PDF Translation,600000,9d66b15c2dedfe830f55fa7f8ba268368a4b209f543c484bf00db12fd819b04e
Talend API Tester - Free Edition,600000,5cb91f1070227b3de49d4fbbcf5fba21ab81bb80c0cb4883a6b97ec8ea156f29
Fnet - Доступ к сайтам!,600000,d2876f38be0eafe10c8a4e4b6c184c9246d9ec2c8601340552ab106345e34536
Silk - Privacy Pass Client,400000,fa4e85095cda6653989690c6e6814768c9fa2ff285ce034b94ddc1d0b3298371
Pnet: бесперебойный доступ к сайтам!,400000,36f761ffaf422ba2c92cb614b60e44878a9758d7793eb717fa9057dc851e585d
IObit Surfing Protection,400000,e86c65b5dc4fd7eff003056def044c164d596117534b4eb9d15df4e7044c02b4
Weava Highlighter - PDF & Web,400000,fc604cb7ee1ff4f16bc9972eca28b5ddcc69ca09ed078df10d12406691510a7e
Image Downloader - images and photo download,400000,214b76f7480cedd5c57bfd4b2fb45c8941c88146d8b5391169dbac0bbf84de00
"Ibotta: Price compare, cashback, item alerts",300000,c880bb6009baf4d376f92975f24b2a87546ea45e2aeebb134c68d6c201087a52
Snet: Сохрани свою анонимность!,300000,3a31bf43f06097a6b3c853031affaf316244bce3e8ad757d1acd62c8c1e5ad95
