Name,Users,Hash
AdBlock — best ad blocker,67000000,dc3980473f100acc066a8d6b0ffb1d64c57fc3c7b10ac458919110d99653b520
Adblock Plus - free ad blocker,46000000,8383965e1a0dd20d56f1bcb3670e99341d2bfaae499304ba87555f467cec50b9
uBlock Origin,36000000,49ac7879d24464edc5788fe7e224683b7e1f3bbe0ba70e5e6fbaa3c849e87383
Kami for Google Chrome™,23000000,5861b1dd17668236be8acc76a206bff92487261fc86058915cccba8560b9a4d8
AdGuard AdBlocker,13000000,e7b9fafc013f2111ee43ccefd982a7ec4b4c769e6fdd54ebdf1c03d5da90ef6b
Tampermonkey,11000000,80a1f21041e725b59a5b8be561086ef098d409fa2e4ffe21fb5d0a67ddc22f81
Adblock for Youtube™_1,10000000,b758e7fcaf078806192bbe3bb8c4971f9cc7bc4bf1bd9c5cbfa879269cd21380
Malwarebytes Browser Guard,10000000,bd30522390cbf59f50ead550bf60353e9f6037053197ad905b5f111902e9f200
LastPass: Free Password Manager,10000000,393fff6e76166be112843e8292c963b6d2b42536e21181e0836dffaac186bc0c
Trellix Endpoint Security Web Control,9000000,45c30621a69e14f76f290394ed6d1c7bd8a9de8a34b34e6544d0bd810430ca65
Avast Online Security & Privacy,9000000,59376acf7a28d9d0e751104bba36586b6cc283e23ed70a8d25d24f307b1ef6be
Capital One Shopping: Add to Chrome for Free,9000000,0334ac391c74741ebe04648b9fc3620f288e68c7056588a03a182bd687aaf74f
Touch VPN - Secure and unlimited VPN proxy,8000000,7ff6c990981da00b0a3829d4a750b3df2805d5094e00e410c49cf60ac6ad01d4
Free VPN for Chrome - VPN Proxy 1clickVPN,8000000,25fb27441b2c9982f6e7098c2403d0f1a0d19daa2abb3fa70e8880c36fa2c7a8
Free VPN for Chrome - VPN Proxy VeePN,7000000,07fc3f4b1a3e610e0c3e0f9ae19da2400690eaad85a190bb1d3a6f840413f6c1
OrbitNote,6000000,3b4b3ac9d70d930b795f306942553d79b66c03b92849c12432ffe1198892e048
Hola VPN - The Website Unblocker,6000000,b871aa457fc858826a38da2be8ccc909f2764142bd6739ce77b9ab717a935464
IE Tab,6000000,2ac035b16aa841818040ea5ec757cde439d136fc11e332ee5c80be843f7dfae7
Avira Browser Safety,6000000,e6d47687905b8ca93589b11ff6379b189a275237837cba127fe67af4dd766788
Zotero Connector,5000000,8a45b6bc37e76fb2b288a247ea1f3219f9c016e21a87bf0b32a8f860c4808321
Browsec VPN - Free VPN for Chrome,5000000,3743bcfa8fbbec9351c0f6021ec2076820aa65a721a6080c5a0357d3d3a19c38
Norton Password Manager,5000000,a73734180e635b08adf52a4cb9096a85b52405d277b9a3da92d0d534212d05a3
DuckDuckGo Privacy Essentials,5000000,2faaf6307395dc473204ece67980cb93f041e9a6491a82ffd5f47e2742e15069
Co:Writer,4000000,0762fe83b6c248c3bdf957898cdfe3c07637fff5f0a89f88323777d42df746ff
Snap&Read,4000000,8bef1844e49f2898f882e5af9e2f8ac63f936ca572c3889269a2fd16aef65eb5
EditThisCookie,3000000,015218b9c3c114a7a47d3e3e4693f84c6a0b4fc3c30a84bd094b89f3fb1035ac
Bitwarden - Free Password Manager,3000000,29a8ea9c7fb707a6c7dd195389bf7ba269837357cbc87ba3f62206740da1b33b
NordVPN - VPN proxy for privacy and security,3000000,e6387b574fcaa524894e77d37022392e5f4f27f44ded7a481a47452ca0a91513
LanSchool Web Helper,3000000,250e29f79be15ebbcb923e28e2d6c2bae08ef300c94386a8a51a608593d5e434
Microsoft Bing Search with Rewards,3000000,7a67eba57b3da96a3a27b2e7241b6288e2c9fcc1c71836a8517b321c7b551707
Ghostery Tracker Ad Blocker - Privacy AdBlock,2000000,a6602048e38b5e416eca4e3f771c9651fec8b2f6bfc4f8cde09c9090cf8ab7ad
Proxy SwitchyOmega,2000000,cb0681aa47be3b532d8780bf564be3924199f6795d5a7e10bb2010ae93d504ad
[DEPRECATED] Tag Assistant Legacy,2000000,0e8cc185c56b930c59016dfeb5eafa7fca42d91b5845cae2e54ec456b71c9cc3
Dashlane — Password Manager,2000000,e63db4a48c66cbcc485fb558906afdc96bf4cb2e0dcc8f6a26d722bc53797877
Emoji keyboard online - copy and paste your emojis.,2000000,59a9e47b79cc8e99853cf671824ac93b1d370ec6e5e8930da4399f029cb83df2
OrangeMonkey,2000000,7224611f2b41f4d0daefe913f6b61e8019fdeb1056f2e2b1fd2a1d1995412c49
Multi Chat - Messenger for WhatsApp,2000000,a3a94da40563a1ab490332e91d3186657f9d25017f8c6680e282dd2315f3d8b3
Image Downloader,2000000,77219cb12d9d5bea3a7affff55d4871a1db3033eea78009d452e478153f690df
Windscribe - Free Proxy and Ad Blocker,2000000,f9ccd5c6191018c19d11f89d0c6909c861cda813f3889cccd609266e90e07893
Free Download Manager,2000000,188eadd71bf50b407486930ba4e2228bba685723e14a243a25ca836fde24c761
User-Agent Switcher for Chrome,2000000,49ca2193d38c50c374703829b7865001c3e97af91eaeeb8aa2b5c5d035fd49db
iboss cloud Enterprise,2000000,9859275ed0ccb314431f0f16dfd4df44974ec475c140069aef9a8a2639b59766
Connecteur Antidote,1000000,fd042ccf78e226e282fc34e7f63f3a09bbc79fc883c8f1b6cacade62c38977da
RapidIdentity,1000000,7403553270b19888f9522db88b0573af38a194a4279c7215739ad44ed75615ea
Impero Education Pro,1000000,641c3d1ef3848eeffad35db6d34472f82f6d994d919eb274519bd17627604ce9
Yandex Access,1000000,a39132bf5c6aec3e29c4cbca73de9878b65c3197d029bc849037a6ac9ca02a7b
Hotspot Shield,1000000,affe75e7c781f0448d8e49413d230a20858af529833306402067c1b029525d5b
HubSpot Sales,1000000,535c1033e086e1b26a3e10ee7b6025f8db62050c009ae292cf9e86e123cfde3f
I don't care about cookies,1000000,0da903b8396cabb841c026dca911ac46787c60d219238d8048b0c81703cdfae8
"FastSave for Instagram™ (reel, photo, story)",1000000,d12dc76a7631f8d0b8aa67b6d8f1f116cd297a5c2a3584d3bd882f7fa82ca923
MyBib: Free Citation Generator,1000000,fdb57eb00db41eaca100e01e8d40c6bf32eab24f7fde879ec058291a470990ae
OneLogin for Google Chrome,1000000,d728c55804237b2cecc8bcaa8b9ef55045befac6d2a28650f659fe6cd3f35ddb
РуТрекер - официальный плагин (доступ и пр.),1000000,ba16397a1cf10e8c798966c024e6d1cdec1f3e1b28dc2de85b17909f42dd180b
Sound Booster & Pro equalizer- Audio Master,1000000,2eb65d10eea6e099716210906a0c6b97206777d626543152ba14c3ec46544ce5
Microsoft Bing Homepage & Search for Chrome,1000000,fd357ac83ff0776c93987e87179d0af44f398aa278c8700e35bcb40b7dcaba60
video downloader - CocoCut,1000000,1329a98c6edfbca282612e6764f9653b31409d610b0fc13d4d17ab95424c9194
Video Downloader PLUS,1000000,d186bc6b0af29e5d02a8ef42ea090fb0718693766691bd5af94373555a98056e
Keeper® Password Manager & Digital Vault,1000000,a65ea0abf60dfbc47d6d944d9dbae6cd8edad8483eb0ddf012743ddc6abaeb45
AdBlocker Ultimate,1000000,1c06f7b0a6871e38efd6d38046f3c6666a1db94d96bca164eb2d63a761fcbcf8
Free VPN Chrome extension - Best VPN by uVPN,1000000,13b9c06165db2ca55cf330d0f4f8244ab833790023090727f600aed1ac3c83f7
MSN + Bing for Chrome,1000000,78509beaf63e0c38da95157a98d1a2927ad37a23ed8c023fd2cf5579b8a67a5e
Roblox with extras! - RoBox,1000000,f5d00d6da06b7f6bdea2dbd6e511691bee444e7491c58fcf3214955056a73a19
uberAgent,1000000,efe8fd16a4ff849eeb564ae2694603995dc8b57ae4bbd5c271962b3c780523c3
Stream Recorder - download HLS as MP4,1000000,dcc8fd7cbb14b052ad6616dc3c8c38c8e9a7e4b770564810818449f00097f1f9
Screenshot & Screen Recorder,1000000,60728bf8f6be8be9f48288b64819f3de26516e5f2675e6f18339ab530310449c
EPUBReader,1000000,4db9ad1e5beb22ca5586d7541b5c265e01851131274579a0f53f52f95601f220
2048 Game_2,1000000,18f4baceeadfebe1f75327acba470071c910f4c5f185151ec64b57835107b025
Video Speed ⏩ HTML videos,1000000,3191899f9d377c56a7577e71de16075f474b622a36d6d22e3e41d0c0e2fe1893
Total Adblock - Ad Blocker,1000000,929237a6b3115c09077b5da74e2af562023bda63e7181fc3ec18462be224c506
Video Downloader Plus,1000000,729afd3f52a4d61b1161ecb8cf5239d1a589e697738800a9f92f6766a652a9e2
Privacy Badger,1000000,e032b1c2ee60796d83f6a7c8936aa378f041d6ec78051781fabb10ce3c495d72
