Name,Hash,Users,Version,All Hosts,Permissions
"Adobe Acrobat: PDF edit, convert, sign tools",75218a7fb88fbfd9ea2c7cb514b4ebd12aba323c454a912fa389969ec41767d3,204000000,3,True,"['contextMenus', 'tabs', 'downloads', 'nativeMessaging', 'webRequest', 'webNavigation', 'storage', 'scripting', 'alarms', 'declarativeNetRequest']"
迅雷下载支持,1bd8a4bb0daab9fbea56d1040b1f883be58bcd603e24948e0e4043d221c26d7a,26000000,3,True,"['contextMenus', 'cookies', 'tabs', 'webRequest', 'downloads', 'nativeMessaging', 'storage', 'scripting', 'notifications']"
PayPal Honey: Automatic Coupons & Cash Back,1c57a23b9922327d31173499cea8e1c48d44d726c2f6e5191eef3bcf68d48840,22000000,3,True,"['alarms', 'cookies', 'storage', 'unlimitedStorage', 'scripting', 'webRequest', 'offscreen']"
360 Internet Protection,308fc980ebc5b272eb1b8e93aa0fd6efbee37bd6df5287391a6b896672b08123,11000000,3,True,"['scripting', 'tabs', 'nativeMessaging', 'storage', 'activeTab', 'webRequest', 'webNavigation', 'declarativeNetRequestWithHostAccess', 'alarms']"
Save to Google Drive,f0a5704c98e958eb1757f8fbf0e5e1fa802d426769c38066d467c12310e2c585,7000000,3,True,"['contextMenus', 'identity', 'printerProvider', 'notifications', 'pageCapture', 'storage', 'tabs', 'webRequest', 'scripting']"
Web Threat Shield,4bd9065b82ab7ac1e05d036e859d62ab25a3e2845330890288b7d97bbab1ca91,5000000,3,True,"['activeTab', 'storage', 'notifications', 'downloads', 'webRequest']"
1Password – Password Manager,cbef52053df7d9eecd678a840a3fc078666a27f82a8f361731f72a85bb28b332,4000000,3,True,"['alarms', 'contextMenus', 'downloads', 'idle', 'management', 'nativeMessaging', 'notifications', 'offscreen', 'privacy', 'scripting', 'storage', 'tabs', 'webNavigation', 'webRequest', 'declarativeNetRequest', 'webRequestAuthProvider']"
Video Downloader Professional_1,bf93792b658d4b59e4f79ae0fe71bbb9bdcfc34dde58309fba303bdfc2cb4bfd,4000000,3,True,"['webRequest', 'downloads', 'tabs', 'storage']"
Okta Browser Plugin,8240e8ea6f1b8facc7d6dccda72caa97aea37f6a931deb5621ac1c5210c38ac2,4000000,3,False,"['tabs', 'cookies', 'storage', 'unlimitedStorage', 'webRequest', 'webNavigation', 'scripting', 'declarativeNetRequestWithHostAccess', 'webRequestAuthProvider']"
Video DownloadHelper,9e2c015b6b8ee379874a08ecbe43c24564cb71b1da090bd698feff79bdc9afd8,3000000,3,True,"['tabs', 'contextMenus', 'nativeMessaging', 'webRequest', 'downloads', 'webNavigation', 'notifications', 'scripting', 'storage', 'declarativeNetRequest']"
Meta Pixel Helper,b32af8365123567e9703b1b3c7da5ab54bc4fea7a83de76e1da529ef87fd111d,3000000,3,True,"['storage', 'tabs', 'activeTab', 'webRequest', 'unlimitedStorage', 'webNavigation']"
Coupert - Automatic Coupon Finder & Cashback,9af2edf9e4cc51ffb7e4fd3988158638fcb7a1349ea2b1dcef6d4f0e98e3269a,3000000,3,True,"['cookies', 'storage', 'unlimitedStorage', 'webRequest', 'alarms']"
Video Downloader for U,ce4277fb29f14335163a73caa1c80556e2ee6a3f5e88a193bad14afc30858d96,3000000,3,True,"['storage', 'tabs', 'downloads', 'webRequest']"
Stylish - Custom themes for any website,bec650931cbcfa1b757144adbc9043a207705769a827ff5d93f49b14c38036ff,2000000,3,True,"['storage', 'tabs', 'alarms', 'scripting', 'webNavigation', 'webRequest', 'contextMenus']"
夸克网盘-网页嗅探,e2e260001c2d95bb177bbf6612fe48cd868f62e68d656b3f498732a17e9fd283,2000000,3,True,"['webRequest', 'nativeMessaging', 'contextMenus', 'storage', 'downloads', 'cookies', 'tabs', 'proxy']"
Ultimate Ad blocker AdBlox,ad468ea7e60e1395ec7bb9212b53c62670302651132548a0e6f2bd37c6690b84,2000000,3,True,"['activeTab', 'declarativeNetRequest', 'webRequest', 'scripting', 'storage']"
McAfee® Web Boost,e251f083d4f3828d7a9facef3aa3ce3590e647825c67a96780ed48033424cfea,2000000,3,True,"['webRequest', 'declarativeNetRequest', 'tabs', 'nativeMessaging', 'storage', 'unlimitedStorage', 'webNavigation', 'activeTab', 'alarms', 'scripting']"
ChitChat - ChatGPT for Better Searches,ec2b50127f78bf82c378baac883449369e899a7b46144a079e004fdcab20f0b0,2000000,3,True,"['storage', 'contextMenus', 'webRequest']"
Wappalyzer - Technology profiler,633a3e259ee8c69d1dc85b5b879b7ba25097ef0a9ff00ee432abef97ffaa1765,2000000,3,True,"['cookies', 'storage', 'tabs', 'webRequest']"
Pop up blocker for Chrome™ - Poper Blocker,00b4c7c96229451d25df51616405e46887115b92af1bec234f6e5a53d3c8748e,2000000,3,True,"['storage', 'activeTab', 'webRequest', 'declarativeNetRequest', 'declarativeNetRequestFeedback', 'contextMenus', 'scripting', 'webNavigation', 'alarms']"
Mendeley Web Importer,ebf2d94b3836dfb13405a41388e9325321228418f42e31f09ec120b13e493964,2000000,3,True,"['notifications', 'scripting', 'storage', 'webRequest']"
Urban VPN Proxy,ff3ec0778e19cd1d8057a8036b431f2522f6fc9b3c6855852c42f009f6b4dffd,2000000,3,True,"['alarms', 'management', 'proxy', 'scripting', 'storage', 'tabs', 'webNavigation', 'webRequest', 'webRequestAuthProvider', 'offscreen']"
Enable right click - allow copy & select,83b69004cceacde968cb7802d1e818673213918f2ab9d8db0289ba1af02bc057,2000000,3,True,"['tabs', 'scripting', 'storage', 'webRequest']"
Klarna | Shop now. Pay later.,809e2486a860dca3ba1b2aff81bca3ab468ba426ff1d5941f449e069236fa514,1000000,3,True,"['storage', 'tabs', 'scripting', 'webRequest']"
Web Color Picker - online color grabber,2908c2c13d8d3f53fe4e19cc2ef56c41b8d28c744a73c46fd92239a0ee6fbbb3,1000000,3,True,"['activeTab', 'notifications', 'storage', 'webRequest', 'contextMenus', 'commands']"
Video Downloader for Web,a08f442207e2809b0a982ffe18841d121db97469262b7afed9f7b52f9f884df2,1000000,3,True,"['webRequest', 'downloads', 'storage']"
"Video Downloader 4saved (mp4, hls, m3u8)",f9cc0187ba7da7349514b241bdb754af4a0a2f6e847142104bc0802daf2af608,1000000,3,True,"['storage', 'tabs', 'webRequest', 'downloads', 'declarativeNetRequest']"
