Name,Users,Hash
Ghostery – Privacy Ad Blocker,1082314,f8a0530b99a88985f7d2a4ce650896e57f4383a9e078dbe534bd87756c344bff
AdGuard AdBlocker,1045876,e7b9fafc013f2111ee43ccefd982a7ec4b4c769e6fdd54ebdf1c03d5da90ef6b
Facebook Container,1040512,b97a3cb6641837db63864f5683d4f2957762f90e0a4348e0d871ddd043bd9526
Grammarly: AI Writing and Grammar Checker App,809967,0b42ae7f8e948306ac018bb8be6ba459022765efbdd25ab9364361584201989a
IDM Integration Module,712683,030401c44a00c742d0c4f1216137492434725f3b934e3101c3f77cca2d6b8841
Tampermonkey,653977,80a1f21041e725b59a5b8be561086ef098d409fa2e4ffe21fb5d0a67ddc22f81
Capital One Shopping: Save Now,558726,593b6b00926106fb41c7fdab998c1c2088dcddaade2b337d874ff438daaf395f
Kaspersky Protection 2021,482891,0a9819d234c4c0273bc2f50c321ccbdf08e29306b056120ca0916cf6835da835
Советник Яндекс.Маркета,379849,09597cf381aaadb16183a2bb82af6c106a94e79b745107e6e39359d5f6139e13
Firefox Multi-Account Containers,374692,e279deebdbb5be39be1ee615988cf38860a3116cf906463c3360d68404050aac
Norton Password Manager,309566,a73734180e635b08adf52a4cb9096a85b52405d277b9a3da92d0d534212d05a3
Coupert - Automatic Coupon Finder & Cashback,261019,9af2edf9e4cc51ffb7e4fd3988158638fcb7a1349ea2b1dcef6d4f0e98e3269a
Cookie AutoDelete,231908,f27a0bca44fe20d96383af1238c97b6766d7d7e94033248ec7c5ddf5aef2def1
Tree Style Tab,206349,c9050e063d9a715efc54dfc9716761942eb3591bbc7fa08bb00395b385cdb41a
Greasemonkey,198949,e66b8b5c85e7b57a5fb2426baf11b3c0a4973d0a512cf3f06bd9077bbda9d303
Pinterest Save Button,187846,be810e0c220668c674f586c40f3459bebb1f4b931f2e879d1e24f2e143a6b654
Rakuten: Get Cash Back For Shopping,158889,88b5a029c7e8eaa1c4a7d68b4679ab784486ecc630b24b1c42942f32196dc9ad
Dashlane Password Manager,150368,5c979b40c949af9c71bd98250af4b648549f05e324b6b3374b619588f02fe4d5
Avira Browser Safety,122284,e6d47687905b8ca93589b11ff6379b189a275237837cba127fe67af4dd766788
Flagfox,119745,bac136a0f61e83e84ac265ff76dbf2526ce5a6c8b19bd8f4a086262fcdf4c687
Wappalyzer,119399,c5a1f8b6b949f5554c06262f17525032329b1e47863b484f73bf3fb2503df3ae
ESET Browser Privacy & Security,112229,44aeb277463008537a80e45100e815ac53484359824bc20b2641e12cd412dc45
Mendeley Web Importer,107202,ebf2d94b3836dfb13405a41388e9325321228418f42e31f09ec120b13e493964
Awesome Screenshot & Screen Recorder,98351,866063cfc85e1a328ea475bc1fa3d49bc2160a2cd647f9ce4eeef7e9624ca282
Ant Video Downloader,97614,b7a71dd752e01ea1a4382d5c380eaa486ae6eda78b7897730d5b19d3306c5924
Web Developer,95583,7e82a525e7d39e229a35915e5c6627ff16525eba853efee84dd3c82ac7ccf6b8
KeePassXC-Browser,94388,d7da758578e0d32c259bbabf015c4c7f3ae63e5bf03444e569862be348f032a6
Evernote Web Clipper,93376,52f9e06256393e692d0a621531f40260b603f70f69dc3ad8db9f62a7cb61aba1
ZenMate Free VPN,92354,69d20c994bdd70f43a0f6dafbd4bf8603424956e3a09302cf20be04083227c87
Windscribe - Free VPN and Ad Blocker,88334,7cac7fbf3f5ca2340048692ab050522f1ef86b9a07e847dcc33ff5017d5a90b9
Free Download Manager official extension,88062,cc8553897fd0895fce41037ce4e358ee449f2070f1b23596ebf9c2bb7d877196
ExpressVPN: VPN proxy for a better internet,87669,e75f5375db8d47b121c4cd6393ca59f8cb9994a02df698c960f0b09e71fb47e4
Privacy Possum,81139,1fe5a4c3a9fbe09f3a5d7a6a9b2533a899e685a0ece0dd3bda423635df0526ff
Simple Tab Groups,78359,655babc6ef5f98da3b4e99e2f14f53e9a5a6c973d3a90923ebb5128e5ac6ff50
Violentmonkey,77464,1315509d86d9a022fde99ad303babf74ca6e645746e72f3d93b7730f37fbb120
Sidebery,69031,faefeac406c2e973c9f5c350a1f2c0ab4b7e016f46acee8b215b3a8c5d81e5cd
Cookie Quick Manager,67367,aa1d0c4fb5737ab43ca7010587ac23284efe5118c1c22f71dd8c0ae0f7b31401
Startpage Privacy Protection,62451,363b575fa1469dea9feb4e17436b6934351f9566b4c77917c63eb9ca07c2af12
Trend Micro Toolbar,61664,50bd5c7dae3382b5f4de98160173a768cc4bb3f960261f5933e44e95e76c40d3
Yandex.Bar,59893,2f6a960471cc91f64265a93f77abbdcab8b8e2c580f7f40ac43d74f31908202c
Cookie-Editor,58520,c4e213e68d64c03941a8d3831a00ab63709d6e813e89218449d42a3a644d0aad
Free VPN Proxy & Ad Blocker - Planet VPN,52450,e38beb97e8c855778d1bdf7f5260eae309ea2eec649c85aab719a592fae79a8d
CyberGhost VPN Free Proxy,49722,8530858d74ec50dca006539594c77365f5a7bea34582f6cc9769753d40a65632
Fakespot Fake Amazon Reviews and eBay Sellers,43845,49e1e61e1cb3f11de976bdd2286b68b695113dff7ecc964970ce9b0816949d56
vidIQ Vision for YouTube,42098,3498d905f6868856fe168793318e952c6870e5736823795564f396130f4fb885
Group Speed Dial,40951,1bb15a052218cfc0f2c5b4551964c36e24cacda32f7be05635d7f7f55db52bfd
VPN,40282,2762a0671924e3e56ca5e1730e4990d920e6129e80b13540a21914ee0cd19eac
