Name,Users,Hash
Norton AntiTrack,43669,218bc43a406c8e83ff3dcfbd57778d9a8ee43b6107d0f0be809cc7cf7bb6e71c
Native MPEG-Dash + HLS Playback,5935,fb949315af181fea11344ba13c763ee8291ec643267fbf0189f439f5d3095399
movie-web extension,3231,e01f0710411453d8d2983e50c14b75bc8b346b333dc4ead339a9fef43f3cd764
uBlock Origin Lite,3116,580fdfe1c0db4e0bdcc25b34356d83400f0648021793eb0da787abfefc8be845
OpenVideo - ad-free streaming,2504,94856e7d15c47ba0146d67ac046043c53e0d3f9428aa16829e78769982f8b07f
Yomitan,2201,1e1919f0d1e056b5eb632341966e563337963a66dd3fef9383ae6183e1124fa1
Skinport Plus,1489,1550df4ec3674427388298bfde32cedcb3169903eee6b8ef790e307f736bd192
Internet Archive Downloader,1134,d321c9e7b8885a2cc7fe256e332576b6a605676c49d027c5a4046250d683ac3f
Music Mode for YouTube™,773,e1216139b2a4a6adb4964c533c00b1e335d1f244eb1513d5b23de7b4ea724fc7
FastStream Video Player,620,5d6d588692090170239ea3c0c5f080e2427766e2439c64c8f6485e1f85b41d99
ChartFox Browser Extension,507,53baa73396292f4bbeab2f41381a64c2adeec4fe0e0759c5cd11ffb05d8062ed
hektCaptcha: hCaptcha Solver,374,413e5c5bd942d453b65a8b116e9c943bbe47f3679f4a537a81157f6620e7da40
Rikaitan,282,d160339ee6ecf586fb8de2259ae5f8b62c8c0ad6e96e30d78a7030f17ab89c88
Novel Speech,239,bbebd82185930bd3f4cbee3be1247a795a8f18e8470aa7d155c01191ae971238
GrabzIt Web Scraping Assistant,194,c915f4ee86c2a8c1221203f22b3d621b93fe4fe8f00e4cf152fb323822930518
Trufflepiggy - Quick Search,77,fddc9867a56a1cf9bacab4a32b6f6b465fe4d382a8addc72ada0d58ed89c2916
Leetcode torture,73,e3e7c64cdead07fc4ee1e9ddf7a7641d79e6c5d84065e5acd066c88a5c149794
Dashy: Sidebar and New Tab Dashboard,69,05737249c7768fdd5388df76fc65cb71b92d4303bdf1701fc7e37ee7311166fc
Pure motion,66,faac45274a6a498948c4970c492916ebfd130b72b3e831745b0f362a0a0a4200
Readup,28,a197adfc94beba3288d6091f260409b7e2aba7a45b747fee80ac12aacea3fe7f
Casca: New Tab with ChatGPT and Widgets,26,5dd47cf085c7d8cf91bf973ad4ab9b592e28c18c94c422ce97b7fe94e9609a04
AdBlox - Ad Blocker,19,1bff4fc28fa0819a86ab6c63100879ed1759df263513d9ca61877c07f6c3b4f4
One Click Checkout for WHMCS,15,12f7edad3f6b370b466a77b824a9fdd51d4cc7d82a2c42b53bcbd7bc0be9e010
Mudfish AdClean,13,403ad8d5e80228f65fc8234b378d685c20c3c9a74b12fe86050932f86d7830a7
SideHN,12,1d95472e5456353a9a5f5e20c5c43cd78604dc9fa63b5fd76256c7022d18f695
Rubric,10,f13a785009892b1ff4947cd8783c47784bc6fa736ce7c22e193431a5b9ef966a
Surf Security,10,56526d73950bb269d9a5f59c116b74f97b0263addbbc6527f43035676b3df0c8
Adblock - 1Block,8,f00dabc98b015c1c091fb7b76b9cdbe2b1af70ffaa034ab60f9c6f5f2791798a
LinkLift,5,d50c680c919f646904aaed74f5c4ddfab1a6d36cb1181cb5355158b064ef13a4
Search & Link Preview,3,a286a2490498da61bd908ea866fd7967f2f6538c782f5fa0a594d7c28466b1ad
Oakley's Everything Blocker,2,261a0bbead6fb1822c86b8570bbdad9eb7116eb8f89e4c3229e6c2e2a2b4420c
Twitterfier,2,a83acac930392fb339814e9c406554edf3d1e197b2544f5c8a014ccd3cedb735
Youtube Ads Blocker,2,de4fff69ace48e24beeb02e8ca8faa201846a6da070a009965c2e6bba867bb67
Blocker_2,1,f5f0c486ae67c59dc2e8a424983b02061a760fc8ab1c29d2c757a4be3efc9c01
Clipcentric Ad Detector,1,a123ee09875406281f1462dc55b6a77d887cd0878f72ac19d859394afb1040c2
Anonymous Extension,1,41080be663a5e58436d968c21706a96b1e3816b596b6eb03ff76edf891d54368
BookMarkMannger,1,94335e663d5915926b4db24bc24ceb4f603d5517c50e71e65a390436a72e8bde
IP2.Network,1,a3ad0190603d62aaa0452404e7fe4691d4cb9c37bf3c3cb933c545c9be6038cf
BookMark-mannger,1,af346ef0aaada2392900fc0f4236827fdb41ca3795321bab7a5f7352e1109b35
Manager Friends Request,1,f538bc74f6b9a6f4bfe7917c89e9896093be30c1f7c6c844863750dea1e944aa
Kiosk Extension,1,3c14c0bb4d57d2608d797a659fde0cc874f57012d304478bc7ad6b3691938280
Script Control,0,a98cc6d41332ca5e8e5a4b05777cc903fe63559e3329ad1c7166e5c1bb91de4d
Flixzilla,0,7ef726eec5e0109d852f5cc87cfe9bf39988baffde678375cc664132fe292b95
Social Meet,0,83ef09f5761b0a0d3cf7aba70eb76af5ef2566d584eb723c277b63ef1da3d5f7
